area,bedrooms,bathrooms,stories,parking,mainroad_yes,guestroom_yes,basement_yes,hotwaterheating_yes,airconditioning_yes,prefarea_yes,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,price
6060,2,1,1,1,True,False,True,False,False,False,True,False,4123000
3600,3,1,1,0,True,False,True,False,True,True,False,False,4098500
6600,4,2,2,1,True,True,True,False,True,True,False,True,9100000
4300,3,2,2,1,True,False,True,False,False,False,False,True,7455000
4770,3,1,1,0,True,True,True,False,False,False,True,False,4900000
4040,2,1,1,0,True,False,False,False,False,False,False,True,3423000
7500,4,2,2,3,True,False,True,False,True,True,False,False,12215000
4950,4,1,2,0,True,False,False,False,True,False,True,False,4382000
5300,5,2,2,0,True,False,False,False,False,False,True,False,3850000
6000,3,2,2,1,True,True,False,False,False,False,True,False,7140000
7686,3,1,1,0,True,True,True,True,False,False,True,False,4970000
3264,2,1,1,0,True,False,False,False,False,False,False,True,2380000
6600,3,1,1,2,True,True,True,False,False,True,True,False,6090000
4050,2,1,1,0,True,False,False,False,False,False,False,False,3710000
3640,3,2,2,0,True,False,True,False,False,False,False,True,4200000
5500,4,2,2,1,True,False,True,False,True,True,True,False,8400000
3880,3,2,2,2,True,False,True,False,False,False,True,False,4620000
12900,3,1,1,2,True,False,False,False,False,False,False,False,4900000
6000,3,2,4,0,True,True,True,False,True,True,True,False,8463000
16200,5,3,2,0,True,False,False,False,False,False,False,True,10150000
7200,3,1,2,1,True,True,True,False,False,True,False,False,5215000
7440,3,2,4,1,True,False,False,False,False,True,False,True,7420000
3240,4,1,3,1,True,False,False,False,False,False,True,False,6107500
9000,4,2,4,2,True,False,False,False,True,False,False,False,7980000
2817,4,2,2,1,False,True,True,False,False,False,False,False,5495000
4840,2,1,2,0,True,False,False,False,False,False,False,True,2450000
6420,3,1,1,0,True,False,True,False,True,True,False,False,5950000
2145,3,1,3,0,True,False,False,False,False,True,False,False,3465000
6800,2,1,1,2,True,True,True,False,False,False,False,False,6020000
3210,3,1,2,0,True,False,True,False,False,False,False,True,2450000
5400,4,1,2,0,True,False,False,False,False,False,True,False,4900000
9800,4,2,2,2,True,True,False,False,False,False,True,False,5250000
4500,2,1,1,0,True,False,False,False,False,False,True,False,3605000
4320,3,1,1,0,True,False,False,False,False,True,True,False,4690000
4700,4,1,2,1,True,True,True,False,True,False,False,False,5600000
8150,3,2,1,0,True,True,True,False,False,False,True,False,5005000
4120,2,1,2,0,True,False,False,False,False,False,False,True,3360000
3480,4,1,2,1,False,False,False,False,False,False,True,False,3290000
4100,2,2,1,0,True,True,True,False,False,False,True,False,4543000
5850,2,1,1,2,True,True,True,False,False,False,True,False,4200000
4785,3,1,2,1,True,True,True,False,True,False,False,False,3395000
4000,3,1,2,0,True,False,False,False,True,False,False,True,2653000
6660,4,2,2,1,True,True,True,False,False,True,True,False,5652500
3450,3,1,1,2,True,False,True,False,False,False,False,True,3395000
7700,3,2,1,2,True,False,False,False,False,False,False,True,6895000
4500,2,1,1,2,True,False,False,False,True,False,False,False,4270000
6000,2,1,1,1,True,False,True,False,True,False,False,False,4690000
4260,4,1,2,0,True,False,True,False,True,False,False,False,5250000
5720,2,1,2,0,True,False,False,False,True,True,False,True,5075000
3960,3,1,2,0,True,False,False,False,False,False,False,False,3990000
4040,2,1,1,1,True,False,False,False,False,False,False,True,3325000
4000,2,1,1,0,True,False,False,False,False,False,False,True,2695000
4800,2,1,1,0,True,True,True,False,False,False,True,False,5033000
4000,3,2,2,1,True,False,True,False,True,False,True,False,6615000
6615,4,2,2,1,True,True,False,True,False,False,True,False,6090000
5500,3,1,2,0,True,False,False,False,True,False,False,True,4200000
5000,3,1,4,0,True,False,False,False,False,False,False,False,5600000
4800,3,2,4,0,True,True,False,False,True,False,False,False,6405000
5400,5,1,2,0,True,True,True,False,True,True,False,False,5565000
4500,2,1,2,1,True,False,False,True,False,False,True,False,3080000
3500,2,1,1,0,False,False,True,False,False,False,True,False,3150000
8250,3,1,1,0,True,False,False,False,False,False,False,False,4480000
3400,3,1,2,2,True,False,True,False,False,True,True,False,4277000
3060,3,1,1,0,True,False,False,False,False,False,False,True,3465000
4032,2,1,1,0,True,False,True,False,False,False,False,False,4319000
6350,3,2,3,0,True,True,False,False,True,False,False,False,6195000
3460,3,2,1,1,True,False,True,False,True,False,False,False,4025000
4040,3,1,2,1,True,False,True,True,False,False,False,False,6650000
4820,3,1,2,0,True,False,False,False,False,False,True,False,3780000
2475,3,1,2,0,True,False,False,False,False,False,False,False,2380000
7020,3,1,1,2,True,False,True,False,True,True,True,False,5950000
4340,3,1,1,0,True,False,False,False,False,False,True,False,4060000
3780,2,1,2,0,True,True,True,False,False,False,True,False,3885000
12944,3,1,1,0,True,False,False,False,False,False,False,True,3500000
5200,4,1,3,0,True,False,False,False,False,False,False,True,2852500
2610,4,3,2,0,False,False,False,False,False,False,True,False,4200000
3600,3,1,2,1,False,False,False,False,False,False,False,True,2940000
3290,2,1,1,1,True,False,False,True,False,False,False,False,3920000
2145,3,1,2,0,True,False,True,False,False,True,False,False,3290000
5985,3,1,1,0,True,False,True,False,False,False,True,False,4130000
7482,3,2,3,1,True,False,False,True,False,True,False,False,8043000
6360,3,1,1,2,True,True,True,False,True,True,False,False,5740000
3520,2,1,2,0,True,False,False,False,False,True,False,False,4515000
3630,3,2,2,2,True,False,False,True,False,False,True,False,4025000
6000,3,2,4,1,True,True,False,False,True,False,False,False,7210000
8372,3,1,3,2,True,False,False,False,True,False,False,True,6090000
5800,3,1,1,2,True,False,False,True,False,False,True,False,4200000
2953,3,1,2,0,True,False,True,False,True,False,False,True,4200000
3750,2,1,1,0,True,True,True,False,False,False,True,False,4445000
3850,3,1,1,0,True,False,False,False,False,False,False,True,3430000
5136,3,1,2,0,True,True,True,False,True,True,False,True,5600000
4880,3,1,1,2,True,False,False,False,False,True,False,True,4403000
3792,4,1,2,0,True,False,False,False,False,False,True,False,3290000
6000,3,1,4,2,True,True,False,False,True,False,False,True,7962500
2520,5,2,1,1,False,False,True,False,True,False,False,False,3773000
5948,3,1,2,0,True,False,False,False,True,False,True,False,4935000
2145,3,1,3,0,True,False,False,False,False,True,False,False,3430000
10500,2,1,1,1,True,False,False,False,False,False,True,False,5600000
3986,2,2,1,1,False,True,True,False,False,False,False,True,3150000
5500,3,2,2,1,True,False,False,False,False,False,True,False,5600000
8250,3,1,1,2,True,False,False,False,False,False,False,False,3773000
5400,3,1,1,3,True,False,False,False,False,False,True,False,4025000
7320,4,2,2,0,True,False,False,False,False,False,False,False,5950000
2700,2,1,1,0,False,False,False,False,False,False,False,False,2940000
9000,3,1,1,1,True,False,True,False,False,True,False,False,6300000
4800,5,2,3,0,False,False,True,True,False,False,False,True,5600000
4000,3,1,2,1,True,False,False,False,False,False,False,False,4585000
3630,4,1,2,3,True,False,False,False,False,False,True,False,3010000
6400,3,1,1,1,True,True,True,False,True,True,True,False,6300000
1650,3,1,2,0,False,False,True,False,False,False,False,True,3150000
4410,2,1,1,1,False,False,False,False,False,False,False,True,4200000
7350,2,1,1,1,True,False,False,False,False,False,True,False,3500000
6254,4,2,1,1,True,False,True,False,False,True,True,False,5950000
7980,3,1,1,1,True,False,False,False,False,True,True,False,5145000
4120,2,1,1,1,True,False,True,False,False,False,True,False,4900000
3520,3,1,1,0,True,False,False,False,False,True,True,False,4550000
2176,2,1,2,0,True,True,False,False,False,True,True,False,3850000
8080,3,1,1,2,True,False,False,False,True,False,True,False,3920000
3512,2,1,1,1,True,False,False,False,False,True,False,True,3500000
4000,2,1,1,0,True,False,False,False,False,False,False,True,3430000
3450,3,1,2,0,True,False,True,False,False,False,True,False,3150000
4320,3,1,2,2,True,False,False,False,False,True,False,False,4060000
15600,3,1,1,2,True,False,False,False,True,False,True,False,5943000
7152,3,1,2,0,True,False,False,False,True,False,False,False,3850000
6321,3,1,2,1,True,False,True,False,True,False,False,False,4760000
3000,3,1,2,0,False,False,False,False,False,False,True,False,2485000
7000,3,1,2,0,True,False,True,False,False,False,False,True,4795000
11460,3,1,3,2,True,False,False,False,False,True,True,False,5873000
4960,2,1,1,0,True,False,False,False,False,False,False,True,2940000
3460,4,1,2,0,True,False,False,False,True,False,True,False,4007500
3000,2,1,1,0,False,False,False,False,False,False,False,True,2135000
3630,2,1,1,0,True,False,False,False,False,False,False,True,2870000
5400,4,1,2,0,True,False,False,False,False,False,False,True,2870000
4900,3,1,2,0,False,False,False,False,False,False,False,True,3493000
5500,4,1,2,0,True,True,True,False,False,False,True,False,3920000
4000,4,2,2,0,False,False,False,False,False,False,True,False,4200000
3640,2,1,1,0,True,False,False,False,False,False,False,False,3395000
4500,2,1,1,0,False,False,False,False,False,False,False,False,3570000
4500,2,1,1,0,False,False,False,False,False,False,True,False,3255000
4300,6,2,2,0,True,False,False,False,False,False,False,False,6083000
3180,3,2,2,2,True,False,False,False,False,False,True,False,5215000
3150,2,2,1,0,False,False,True,False,False,False,True,False,3815000
4500,4,2,2,2,True,False,True,False,False,False,False,False,3570000
3520,2,2,1,0,True,False,True,False,False,False,True,False,3640000
4040,2,1,2,1,True,False,False,False,False,False,True,False,4095000
4400,4,1,2,2,True,False,False,False,True,True,True,False,5565000
4095,2,1,1,2,True,False,False,False,False,False,True,False,3150000
4160,3,1,1,0,True,True,True,False,True,False,False,True,4620000
3600,2,1,1,0,True,False,False,False,False,False,False,True,2590000
5830,2,1,1,2,True,False,False,False,False,False,False,True,3780000
6710,3,2,2,1,True,True,True,False,False,True,False,False,5390000
4992,3,2,2,2,True,False,False,False,False,False,False,True,4060000
5400,4,2,2,2,True,False,False,False,True,False,False,True,5740000
2800,3,2,2,1,False,False,True,False,True,False,True,False,4956000
4040,3,1,2,1,True,False,False,False,False,False,True,False,4480000
3745,3,1,2,0,True,False,True,False,False,False,False,False,4655000
8000,3,1,1,2,True,True,True,False,True,True,True,False,6020000
6540,3,1,1,2,True,True,True,False,False,True,False,False,5950000
3640,2,1,1,1,True,False,False,False,False,False,True,False,3500000
10240,2,1,1,2,True,False,False,False,True,True,False,True,4760000
3000,3,1,1,0,False,False,False,False,True,False,False,True,3115000
4000,2,1,1,0,True,False,False,False,False,True,True,False,3605000
3350,3,1,2,0,True,False,False,False,False,False,False,True,3836000
6500,3,2,3,0,True,False,False,False,True,False,False,True,5880000
3360,2,1,1,1,True,False,False,False,False,False,False,True,2100000
6650,3,1,2,0,True,True,False,False,False,False,True,False,4235000
2650,3,1,2,1,True,False,True,False,False,False,False,True,2800000
2835,2,1,1,0,True,False,False,False,False,False,True,False,3010000
6420,3,1,3,0,True,False,True,False,False,True,False,True,6125000
4750,2,1,1,0,True,False,False,False,False,False,False,True,3360000
3600,2,1,1,0,True,False,False,False,False,False,False,False,3675000
4800,3,1,3,0,True,False,False,False,True,False,False,True,5810000
3180,2,1,1,0,True,False,False,False,False,False,False,True,2310000
6000,4,2,4,1,True,False,False,False,True,False,False,False,7560000
6540,4,2,2,0,False,False,False,False,True,False,True,False,5250000
8880,3,2,2,1,True,False,True,False,True,False,False,False,6930000
4360,4,1,2,0,True,False,False,False,False,False,False,False,4270000
8250,3,2,3,0,True,False,False,False,True,False,False,False,6510000
3640,3,1,2,0,True,False,False,False,True,False,False,False,4550000
11410,2,1,2,0,True,False,False,False,False,True,False,False,5110000
5880,3,1,1,1,True,False,False,False,False,False,False,True,3290000
3150,3,2,1,0,True,True,True,False,True,False,False,False,5460000
6550,4,2,2,1,True,False,False,False,True,True,True,False,9310000
7000,3,2,4,2,True,False,False,False,True,False,False,False,8080940
7950,5,2,2,2,True,False,True,True,False,False,False,True,8400000
5500,3,2,1,0,True,False,True,False,False,False,True,False,5250000
10500,4,2,2,1,True,False,False,False,False,False,True,False,5600000
3069,2,1,1,1,True,False,False,False,False,False,False,True,3150000
3850,3,1,1,2,True,False,False,False,False,False,False,True,3535000
3420,4,2,2,0,True,False,False,False,False,False,True,False,4767000
4100,3,2,3,2,True,False,False,False,True,False,True,False,6300000
6325,3,1,4,1,True,False,False,False,True,False,False,True,7420000
3840,3,1,2,1,True,False,False,False,False,True,True,False,4585000
3750,3,1,1,0,True,False,False,False,False,False,False,True,3360000
3600,2,1,1,0,True,False,False,False,False,False,True,False,3780000
6060,3,1,1,0,True,True,True,False,False,False,False,False,3290000
7085,3,1,1,2,True,True,True,False,False,True,True,False,5229000
3120,3,1,2,0,False,False,False,False,False,False,False,False,3220000
6360,3,2,4,0,True,False,False,False,True,True,False,False,7840000
4000,3,1,2,1,True,False,False,False,False,False,False,True,2730000
4370,3,1,2,0,True,False,False,False,False,False,False,True,3220000
5800,2,1,1,0,True,True,True,False,True,False,True,False,4900000
3990,3,1,2,0,True,False,False,False,False,False,True,False,3500000
2175,3,1,2,0,False,True,True,False,True,False,False,True,4270000
3480,2,1,1,0,True,False,False,False,False,True,True,False,3745000
5900,2,1,1,1,True,False,False,False,False,False,False,False,3500000
4510,4,1,2,2,True,False,False,False,True,False,True,False,4480000
4600,2,1,1,0,True,False,False,False,False,False,False,False,3010000
7420,4,1,2,2,True,True,True,False,True,False,False,False,11410000
4000,3,1,2,2,True,False,False,False,False,False,False,False,4480000
3600,2,2,2,1,True,False,True,False,False,False,False,False,2590000
6600,3,2,1,0,True,False,True,False,True,True,False,True,6230000
5170,3,1,4,0,True,False,False,False,True,False,True,False,4690000
4400,2,1,1,0,True,False,False,False,False,False,False,True,2590000
4995,4,2,1,0,True,False,True,False,False,False,True,False,4893000
3660,4,1,2,0,False,False,False,False,False,False,False,True,2940000
10269,3,1,1,1,True,False,False,False,False,True,True,False,5250000
6600,3,2,3,0,True,False,False,False,True,True,False,True,6293000
2747,4,2,2,0,False,False,False,False,False,False,True,False,4200000
4160,3,1,3,0,True,False,False,False,False,False,False,True,4830000
8880,2,1,1,1,True,False,False,False,True,False,True,False,7070000
5320,2,1,1,1,True,False,False,False,False,True,False,True,3465000
6600,3,1,4,3,True,False,False,False,True,True,False,False,7490000
4880,4,2,2,1,True,False,False,False,True,True,False,False,8295000
4920,3,1,2,1,True,False,False,False,False,False,True,False,4403000
6480,3,1,2,1,False,False,False,False,True,False,True,False,3990000
4520,3,1,2,0,True,False,True,False,True,False,True,False,4900000
2910,2,1,1,0,False,False,False,False,False,False,False,True,2604000
8875,3,1,1,1,True,False,False,False,False,False,True,False,8400000
3300,3,1,2,1,False,False,False,False,False,False,True,False,2835000
5400,2,1,2,0,True,False,False,False,False,True,True,False,4690000
3162,3,1,2,1,True,False,False,False,True,False,False,False,4473000
2275,3,1,3,0,True,False,False,True,True,True,True,False,3640000
5040,3,1,2,0,True,False,True,False,True,False,False,True,4200000
3500,4,1,2,2,True,False,False,False,True,False,False,True,3360000
6600,4,2,2,0,True,True,True,False,False,True,True,False,5460000
3036,3,1,2,0,True,False,True,False,False,False,True,False,3500000
3150,3,1,2,0,False,False,False,False,False,False,False,True,2940000
5000,3,1,3,0,True,False,False,False,True,False,True,False,5740000
6240,4,2,2,1,True,False,False,False,True,False,False,False,7070000
6000,3,2,4,0,True,False,False,False,True,False,False,True,5775000
5500,3,1,3,1,True,True,False,False,True,False,False,False,5873000
3970,1,1,1,0,False,False,False,False,False,False,False,True,2275000
8100,4,1,2,2,True,True,True,False,True,True,False,False,9870000
4100,4,1,1,0,False,False,True,False,False,False,False,True,3990000
3850,2,1,1,0,True,False,False,False,False,False,True,False,3850000
11175,3,1,1,1,True,False,True,False,True,True,False,False,7000000
4079,3,1,3,0,True,False,False,False,False,False,True,False,4200000
7800,3,2,2,0,True,False,False,False,False,True,True,False,9240000
6900,3,1,1,0,True,True,True,False,False,True,True,False,5523000
6550,3,1,2,0,True,False,True,False,True,True,False,False,7875000
3520,3,1,1,2,True,False,False,False,False,True,False,True,3633000
6100,3,1,1,0,True,False,True,False,True,True,True,False,5110000
3000,4,1,2,0,True,False,False,False,False,False,False,True,2100000
6040,3,1,1,2,True,False,False,False,False,True,True,False,4830000
3185,2,1,1,2,True,False,False,False,False,False,False,True,3430000
6360,2,1,1,0,True,False,False,False,False,False,False,False,4270000
6800,2,1,1,0,True,False,False,False,False,False,False,True,2730000
4350,3,1,2,1,False,False,False,True,False,False,False,True,2835000
2145,4,2,1,0,True,False,True,False,False,True,False,True,3920000
2870,2,1,2,0,True,True,True,False,False,True,True,False,4620000
3000,3,1,2,0,True,False,True,False,True,False,True,False,4900000
3420,4,2,2,2,True,False,True,False,True,False,True,False,4893000
2325,3,1,2,0,False,False,False,False,False,False,True,False,4200000
4400,3,1,2,0,True,False,False,False,False,False,False,True,2485000
3450,3,1,2,1,True,False,True,False,False,False,True,False,4515000
3420,5,1,2,0,False,False,False,False,False,False,False,True,1960000
5495,3,1,1,0,True,False,True,False,False,False,False,True,3129000
3620,2,1,1,0,True,False,False,False,False,False,False,True,1750000
4500,3,1,1,0,True,False,True,False,False,False,False,False,4200000
3420,2,1,2,1,True,False,False,True,False,False,True,False,3780000
3900,3,1,2,0,True,False,False,False,False,False,False,True,4375000
3450,1,1,1,0,True,False,False,False,False,False,False,False,3150000
4095,3,1,2,0,False,True,True,False,True,False,True,False,4900000
6100,3,1,3,0,True,True,False,False,True,True,True,False,5460000
6000,4,2,4,2,True,False,False,False,False,False,True,False,7700000
6862,3,1,2,2,True,False,False,False,True,True,False,False,4830000
9500,3,1,2,3,True,False,False,False,False,True,False,True,3500000
7600,4,1,2,2,True,False,False,False,True,False,False,False,5040000
4632,4,1,2,0,True,False,False,False,True,False,True,False,4130000
6360,2,1,1,1,True,False,True,False,True,False,False,False,4473000
4500,3,1,4,0,True,False,False,False,True,False,False,True,6160000
5150,3,2,4,2,True,False,False,False,True,False,True,False,7350000
4600,4,1,2,0,True,False,False,False,False,False,True,False,3500000
8960,4,4,4,3,True,False,False,False,True,False,False,False,12250000
2430,3,1,1,0,False,False,False,False,False,False,False,True,2660000
3600,3,1,1,1,True,False,False,False,False,False,False,True,3710000
7440,3,2,1,0,True,True,True,False,True,True,True,False,7420000
4960,4,1,3,0,False,False,False,False,False,False,True,False,3360000
6000,3,1,2,1,True,False,False,True,False,True,True,False,6629000
6300,3,1,1,2,True,False,False,False,True,False,True,False,4900000
6840,5,1,2,1,True,True,True,False,True,False,False,False,8120000
2500,2,1,1,0,False,False,False,False,True,False,False,True,3290000
3968,3,1,2,0,False,False,False,False,False,False,True,False,4410000
2145,3,1,2,0,True,False,True,False,False,True,False,False,3332000
4500,3,1,2,0,True,False,False,False,True,False,False,True,3143000
4320,3,1,1,1,False,False,False,False,False,False,False,True,3220000
3630,2,1,1,0,True,False,True,False,False,False,False,False,3675000
6750,2,1,1,2,True,True,True,False,False,True,False,False,6419000
3180,4,2,2,0,True,False,False,False,False,False,False,False,3885000
3640,2,1,1,0,True,False,False,False,False,False,False,True,2345000
6000,4,2,4,1,True,True,False,False,True,False,False,False,7350000
2015,3,1,2,0,True,False,True,False,False,True,True,False,3850000
4900,2,1,2,0,True,False,True,False,False,False,True,False,4410000
3760,3,1,1,2,True,False,False,False,False,False,True,False,4550000
3500,4,2,2,2,True,False,False,True,False,False,False,False,9240000
5600,2,1,1,0,True,False,False,False,True,False,True,False,4095000
7410,3,1,1,2,True,True,True,False,True,True,False,True,6475000
4240,3,1,2,0,True,False,False,False,True,False,True,False,3500000
3500,4,1,2,2,True,False,False,False,False,False,False,False,4340000
7800,3,1,1,2,True,False,True,False,True,True,False,True,5320000
4500,3,2,2,0,False,False,True,False,True,False,True,False,3990000
2990,2,1,1,1,False,False,False,False,False,False,False,True,1855000
7000,3,1,1,2,True,False,True,False,False,True,True,False,5803000
4840,3,1,2,1,True,False,False,False,False,False,True,False,4165000
3040,2,1,1,0,False,False,False,False,False,False,False,True,2870000
1950,3,1,1,0,False,False,False,True,False,False,False,True,2240000
3185,2,1,1,0,True,False,False,False,True,False,False,True,2653000
3000,4,1,3,2,True,False,True,False,True,False,True,False,4060000
2550,3,1,2,0,True,False,True,False,False,False,False,False,4550000
3540,2,1,1,0,False,True,True,False,False,False,True,False,5040000
3000,2,1,2,0,True,False,False,False,False,False,True,False,2961000
2880,3,1,1,0,False,False,False,False,False,False,False,True,2520000
7680,4,2,4,1,True,True,False,False,True,False,True,False,7210000
4352,4,1,2,1,False,False,False,False,False,False,False,True,2975000
9860,3,1,1,0,True,False,False,False,False,False,True,False,4515000
7155,3,2,1,2,True,True,True,False,True,False,False,True,8680000
3680,3,2,2,0,True,False,False,False,False,False,True,False,4095000
3500,2,1,1,0,True,False,False,False,False,False,False,True,3115000
6210,4,1,4,0,True,True,False,False,True,False,False,False,5460000
4400,2,1,1,1,True,False,False,False,False,False,True,False,4305000
10700,3,1,2,0,True,True,True,False,False,False,True,False,5040000
3640,2,1,1,0,True,False,False,False,False,False,False,True,3570000
1950,3,2,2,0,True,False,True,False,False,True,False,True,3430000
2640,2,1,1,1,False,False,False,False,False,False,False,False,2835000
4080,2,1,1,0,True,False,False,False,False,False,True,False,3850000
4046,3,1,2,1,True,False,True,False,False,False,True,False,4165000
4800,3,1,1,0,True,True,True,False,False,False,False,True,5866000
6000,4,1,3,0,True,True,True,False,False,True,False,True,6265000
3180,3,1,2,0,False,False,True,False,False,False,True,False,3640000
3960,3,1,1,2,True,False,True,False,False,False,True,False,6475000
3850,3,1,2,0,True,False,False,False,False,False,False,True,3115000
4050,2,1,2,0,True,True,True,False,False,True,False,True,3990000
4350,2,1,1,0,True,False,True,False,False,False,False,True,4865000
3090,3,1,2,0,False,False,False,False,False,False,True,False,3010000
7231,3,1,2,0,True,True,True,False,True,True,True,False,5950000
4320,3,1,2,2,True,False,True,True,False,False,True,False,8750000
6000,4,2,4,0,True,False,False,False,True,False,False,True,6755000
5450,4,2,1,0,True,False,True,False,True,True,True,False,6160000
4500,3,2,3,1,True,False,False,True,False,False,False,False,4340000
4040,2,1,1,0,True,False,False,False,False,False,False,True,3290000
5500,3,2,4,1,True,True,False,False,True,False,True,False,6195000
